1571929498,1,4,1,"C2,C6,C5,C10;D7,DK,D10,D9;S6,SJ,S9,SK;C8,CK,C7,CJ;SA,S2,S10,SQ;S4,H10,S5,S7;D2,D6,D4,DQ;H5,H8,H2,H3;HJ,H6,HQ,H7;HK,C4,CA,CQ;D5,DJ,D8,DA;H9,H4,C9,C3;S8,D3,S3,HA"
1571929498,1,1,1,"C7,CK,C2,C8;D4,D5,DQ,D10;S9,S5,S2,SQ;HK,SK,S10,S8;C3,C5,HA,C6;HQ,S6,S7,S4;H9,H7,H2,H3;D9,DK,DJ,D7;D2,D6,D8,DA;H4,H10,H8,HJ;C4,H5,SJ,S3;CA,CQ,H6,C9;D3,C10,SA,CJ"
1571929498,1,6,1,"C2,C7,C9,C8;DK,D4,D6,D2;SQ,S8,S5,S6;C10,CJ,C6,CK;D10,D7,D5,D8;C5,C3,CA,HA;S3,SJ,S4,S7;H7,H10,H5,SK;H6,H9,H2,SA;HK,HQ,HJ,DQ;H8,H3,DJ,D3;DA,H4,D9,S10;C4,S2,CQ,S9"
1571929498,1,19,1,"C2,C7,C9,C10;D6,D9,D8,DK;S5,S10,S9,S2;S4,SA,SQ,HA;SJ,SK,S3,H10;H6,H7,H5,H3;C4,CA,C8,CJ;C6,C5,HK,H8;H4,H9,HJ,D5;H2,D10,DJ,D2;CK,D7,DQ,D4;S8,HQ,S7,DA;C3,CQ,S6,D3"
1571929498,1,1,1,"CQ,C10,D6,C2;S7,S6,SQ,SA;C8,C3,HK,C4;C6,CK,HJ,C7;D10,DA,D3,D5;H5,H7,H10,H6;D4,D7,D8,D2;HQ,DJ,D9,DK;CJ,HA,S4,CA;S8,S10,SJ,S5;S2,H9,SK,H4;H8,H2,S9,H3;C9,DQ,S3,C5"
1571929498,1,8,1,"C10,C2,C3,CA;S3,S7,S8,S4;D8,D10,D7,D6;C9,C4,CJ,SQ;DA,DQ,D3,DK;C5,C6,C8,H9;D5,D2,DJ,D4;HA,H10,H5,H4;H6,HJ,H8,S10;H7,CQ,HK,S9;H2,CK,HQ,S5;S2,C7,H3,SJ;SA,SK,D9,S6"
1571929498,1,8,1,"C5,C7,C2,C4;D3,D9,D2,D7;S7,S9,SQ,SJ;C8,CJ,C6,CQ;DQ,DJ,D6,D5;S3,SA,S10,S4;S8,S6,S2,H9;CA,HA,CK,C10;H3,HQ,HJ,H8;S5,SK,H4,H2;H6,HK,DA,D10;H10,H7,DK,C3;D8,H5,C9,D4"
1571929498,1,14,1,"CJ,CQ,C2,C4;D7,DQ,DJ,DA;C10,C8,C7,CK;S10,SK,SQ,S8;SJ,S6,S5,S7;D6,D2,D4,D9;CA,H4,C6,C9;S4,SA,HK,S3;DK,D10,D3,HA;H9,S9,H8,H2;C5,D5,C3,HQ;HJ,S2,H3,H6;H7,D8,H10,H5"
1571929498,1,10,1,"CK,C9,CJ,C2;SJ,SQ,S4,SK;C8,C5,C7,CA;D5,DA,D2,DK;S5,SA,S6,S9;D7,D9,DQ,D6;HK,D3,D10,DJ;CQ,C6,C3,C4;S3,S7,S2,HQ;S8,S10,HA,H10;H8,HJ,H3,H9;H7,D4,H5,D8;H4,H6,C10,H2"
1571929498,1,0,1,"C2,D7,C8,C6;S6,S3,S7,SK;D3,D9,DA,DQ;S9,SJ,S10,S8;DK,DJ,D8,D6;CQ,HA,C5,C10;CJ,H9,C9,CK;H3,H7,HK,H8;HJ,S4,H6,H2;C3,SA,CA,HQ;S5,D4,H4,H10;C7,D10,SQ,H5;C4,S2,D5,D2"
1571929498,1,0,1,"C8,C2,C9,CJ;D6,D2,DA,DJ;S4,S8,S5,S10;D10,DQ,D3,D5;SK,S2,SA,HJ;C4,CK,C7,CA;HA,H8,H10,H9;S9,H6,S6,H7;SJ,H5,S7,D7;SQ,H4,HQ,C10;S3,H3,D9,CQ;HK,H2,C6,D4;D8,C3,DK,C5"
1571929498,1,16,1,"C2,C8,SJ,C7;D3,DJ,D5,D8;D6,D7,D2,D10;SQ,SA,S6,S4;H7,DA,D4,DQ;H4,DK,D9,HA;S5,HJ,HQ,H3;CJ,H10,HK,H9;S9,S8,S7,SK;CA,C9,H2,H6;C3,CQ,H8,H5;CK,C4,S10,S2;C5,C6,S3,C10"
1571929498,1,18,1,"C5,C4,C3,C2;D3,D10,D5,DJ;C7,CK,C10,C9;SQ,SA,SJ,S5;S3,S4,HQ,S6;CJ,CA,HJ,CQ;H9,HK,H2,H8;H10,H3,H4,H7;D2,HA,D9,DQ;H6,SK,DA,D8;S7,S8,D4,DK;C8,S10,D7,H5;S2,S9,D6,C6"
